series_id,station_id,id_config,codigo_estacion,nombre_estacion,tipo_dato,variable,variable_original,unidad,operador,tipo_estacion,latitud,longitud,altitud_msnm,aaa,ala,ambito_politico,ambito_administrativo,unidad_hidrografica,nombre_fuente,carpeta_cuenca,expected_obs_day,expected_obs_day_label,expected_obs_day_inferido,archivo_fuente,archivo_long_rds,fuente_validacion,accion_rescate
Otra|00066010001|IDConfig_64126,Otra|00066010001,64126,00066010001,Smcv001/1a,Otra,Volumen Incremental 1 Año,Volumen Incremental 1 Año (m³),m³,Sociedad Minera Cerro Verde S.A.A.,Automática / Hidrométrica,-16.448422,-71.613304,2115.07,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: Uchumayo,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: Chili,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_64126_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_64126.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Otra|00066010002|IDConfig_64128,Otra|00066010002,64128,00066010002,Smcv002/1b,Otra,Volumen Incremental 1 Mes,Volumen Incremental 1 Mes (m³),m³,Sociedad Minera Cerro Verde S.A.A.,Automática / Hidrométrica,-16.448194,-71.612865,2115.07,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: Uchumayo,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: Chili,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_64128_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_64128.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Otra|00066010002|IDConfig_64129,Otra|00066010002,64129,00066010002,Smcv002/1b,Otra,Volumen Incremental 1 Año,Volumen Incremental 1 Año (m³),m³,Sociedad Minera Cerro Verde S.A.A.,Automática / Hidrométrica,-16.448194,-71.612865,2115.07,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: Uchumayo,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: Chili,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_64129_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_64129.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Otra|00066010003|IDConfig_64132,Otra|00066010003,64132,00066010003,Smcv003/Reuso,Otra,Volumen Incremental 1 Mes,Volumen Incremental 1 Mes (m³),m³,Sociedad Minera Cerro Verde S.A.A.,Automática / Hidrométrica,-16.474538,-71.620036,2281,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: Uchumayo,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,:,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_64132_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_64132.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Otra|00066010003|IDConfig_64133,Otra|00066010003,64133,00066010003,Smcv003/Reuso,Otra,Volumen Incremental 1 Año,Volumen Incremental 1 Año (m³),m³,Sociedad Minera Cerro Verde S.A.A.,Automática / Hidrométrica,-16.474538,-71.620036,2281,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: Uchumayo,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,:,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_64133_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_64133.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Otra|203302|IDConfig_7965,Otra|203302,7965,203302,Socsi,Otra,Nivel Intantáneo,Nivel Intantáneo (m),m,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-13.028303,-76.194528,310,Cañete Fortaleza,Mala Omas Cañete,Dpto: Lima / Prov: Cañete / Dist.: Lunahuana,AAA: Cañete Fortaleza / ALA: Mala Omas Cañete,Cuenca Cañete,Río: Cañete,13754_Cuenca_Canete,4,,4,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/13754_Cuenca_Canete/_raw_reportes_xlsx/IDConfig_7965_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/13754_Cuenca_Canete/IDConfig_7965.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Otra|220509|IDConfig_7273,Otra|220509,7273,220509,Sondorillo,Otra,Nivel Intantáneo,Nivel Intantáneo (m),m,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-5.339222,-79.41575,1702,Marañon,Chinchipe Chamaya,Dpto: Piura / Prov: Huancabamba / Dist.: Sondorillo,AAA: Marañon / ALA: Chinchipe Chamaya,Cuenca Chamaya,:,49896_Cuenca_Chamaya,4,,4,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/49896_Cuenca_Chamaya/_raw_reportes_xlsx/IDConfig_7273_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/49896_Cuenca_Chamaya/IDConfig_7273.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Otra|204702|IDConfig_7363,Otra|204702,7363,204702,Sumbay,Otra,Nivel Intantáneo,Nivel Intantáneo (m),m,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-15.841178,-71.114647,4445,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Caylloma / Dist.: San Antonio De Chuca,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: SUMBAY,132_Cuenca_Quilca_-_Vitor_-_Chili,4,,4,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_7363_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_7363.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Otra|220812|IDConfig_7277,Otra|220812,7277,220812,Tabaconas,Otra,Nivel Intantáneo,Nivel Intantáneo (m),m,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-5.322211,-79.287789,1787,Marañon,Chinchipe Chamaya,Dpto: Cajamarca / Prov: San Ignacio / Dist.: Tabaconas,AAA: Marañon / ALA: Chinchipe Chamaya,Cuenca Chinchipe,:,49892_Cuenca_Chinchipe,4,,4,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/49892_Cuenca_Chinchipe/_raw_reportes_xlsx/IDConfig_7277_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/49892_Cuenca_Chinchipe/IDConfig_7277.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Otra|220801|IDConfig_7330,Otra|220801,7330,220801,Tabaconas Alto,Otra,Nivel Intantáneo,Nivel Intantáneo (m),m,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-5.25,-79.316667,2130,Marañon,Chinchipe Chamaya,Dpto: Cajamarca / Prov: San Ignacio / Dist.: Tabaconas,AAA: Marañon / ALA: Chinchipe Chamaya,Cuenca Chinchipe,:,49892_Cuenca_Chinchipe,4,,4,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/49892_Cuenca_Chinchipe/_raw_reportes_xlsx/IDConfig_7330_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/49892_Cuenca_Chinchipe/IDConfig_7330.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
